Line #,Key,hy Version,ka Translation
1,hy.activerecord.models.user,User,Օգտատեր
2,hy.activerecord.models.category,Category,Կատեգորիա
3,hy.activerecord.models.organization,Organization,Կազմակերպություն
4,hy.activerecord.models.visualization,Visualization,Վիզուալիզացիա
5,hy.activerecord.models.page,Page,Էջ
6,hy.activerecord.models.message,Message,Հաղորդագրություն
7,hy.activerecord.models.datasource,Data Source,Տվյալների աղբյուր
8,hy.activerecord.models.idea,Idea,Գաղափար
9,hy.activerecord.models.idea_inappropriate_report,Report,Հաշվետվություն
10,hy.activerecord.models.idea_status,Idea Status,Գաղափարի կարգավիճակը
11,hy.activerecord.models.idea_progress,Idea Progress,Գաղափարի առաջընթացը
12,hy.activerecord.attributes.user.email,Email Address,Էլ. հասցե
13,hy.activerecord.attributes.user.password,Password,Գաղտնաբառ
14,hy.activerecord.attributes.user.password_confirmation,Password Confirmation,Գաղտնաբառի հաստատում
15,hy.activerecord.attributes.user.role,Role,Դեր
16,hy.activerecord.attributes.user.remember_me,Remeber Me,Հիշիր ինձ
17,hy.activerecord.attributes.message.name,Name,Անուն
18,hy.activerecord.attributes.message.phone,Phone Number,Հեռախոսահամար
19,hy.activerecord.attributes.message.email,Email Address,Էլ. հասցե
20,hy.activerecord.attributes.message.message,Message,Հաղորդագրություն
21,hy.activerecord.attributes.message.what_is_data,Briefly describe the data that you want to visualize,"Համառոտ ներկայացրեք, թե ինչ տվյալներ եք ուզում պատկերավորել"
22,hy.activerecord.attributes.message.why_visualize,Why do you want to visualize this data?,Ինչո՞ւ եք ուզում պատկերավորել այս տվյալները
23,hy.activerecord.attributes.message.datasource,What is the data source?,Տվյալների աղբյուրը
24,hy.activerecord.attributes.message.file,Attach the data file,Կցեք տվյալների ֆայլը
25,hy.activerecord.attributes.message.how_use,Why would you like to use feradi.info to show your visualiations?,Ինչո՞ւ եք ուզում օգտագործել feradi.info-ն ձեր վիզուալիզացիայի համար
26,hy.activerecord.attributes.message.organization,Organization,Կազմակերպություն
27,hy.activerecord.attributes.category.icon,Icon,Պատկեր
28,hy.activerecord.attributes.category_translation.name,Name,Անուն
29,hy.activerecord.attributes.organization.logo,Logo,Լոգո
30,hy.activerecord.attributes.organization.url,Website,Կայքէջ
31,hy.activerecord.attributes.organization_translation.name,Name,Անուն
32,hy.activerecord.attributes.organization_translation.bio,About,Ձեր մասին
33,hy.activerecord.attributes.organization_translation.permalink,Name in URL,Հղումի անվանումը
34,hy.activerecord.attributes.organization_translation.permalink_hint,"If you want to generate a new URL name, simply delete the text and a new one will be generated when the record is saved.  Make sure you do this for all languages.","Եթե ցանկանում եք ստեղծել նոր հղում, պարզապես ջնջեք տեքսը, և գրառման պահպանումից հետո կստեղծվի նորը: Կրկնեք գործողությունը բոլոր լեզուների համար:"
35,hy.activerecord.attributes.organization_user.is_active,Active?,Ակտի՞վ է
36,hy.activerecord.attributes.organization_user.user_id,User,Օգտատեր
37,hy.activerecord.attributes.organization_user.organization_id,Organization,Կազմակերպություն
38,hy.activerecord.attributes.page.name,Name,Անուն
39,hy.activerecord.attributes.page_translation.title,Title,Վերնագիր
40,hy.activerecord.attributes.page_translation.description,Content,Բովանդակություն
41,hy.activerecord.attributes.visualization.published_date,Publication Date,Հրատարակման ամսաթիվ
42,hy.activerecord.attributes.visualization.published,Release to Public?,Հրապարակե՞լ
43,hy.activerecord.attributes.visualization.visualization_type_id,Visualization Type,Վիզուալիզացիայի տեսակ
44,hy.activerecord.attributes.visualization.individual_votes,Individual Votes,Անհատական քվեներ
45,hy.activerecord.attributes.visualization.overall_votes,Overall Votes,Ընդհանուր քվեներ
46,hy.activerecord.attributes.visualization.dataset,Dataset File,Տվյալների բազա
47,hy.activerecord.attributes.visualization.visualization_categories,Categories,Կատեգորիաներ
48,hy.activerecord.attributes.visualization.is_promoted,Promote to Home Page?,Բարձրացնե՞լ Հիմնական էջ
49,hy.activerecord.attributes.visualization.promoted_at,Date Promoted,Բարձրացման ամսաթիվը
50,hy.activerecord.attributes.visualization_translation.title,Title,Վերնագիր
