Line #,Key,en Version,ka Translation
1,ka.activerecord.models.user,User,მომხმარებელი
2,ka.activerecord.models.category,Category,კატეგორია
3,ka.activerecord.models.organization,Organization,ორგანიზაცია
4,ka.activerecord.models.visualization,Visualization,ვიზუალიზაცია
5,ka.activerecord.models.page,Page,გვერდი
6,ka.activerecord.models.message,Message,შეტყობინება
7,ka.activerecord.models.datasource,Data Source,მონაცემთა წყარო
8,ka.activerecord.models.idea,Idea,იდეა
9,ka.activerecord.models.idea_inappropriate_report,Report,რეპორტი
10,ka.activerecord.models.idea_status,Idea Status,იდეის სტატუსი
11,ka.activerecord.models.idea_progress,Idea Progress,პროგრესი
12,ka.activerecord.attributes.user.email,Email Address,ელ.ფოსტა
13,ka.activerecord.attributes.user.password,Password,პაროლი
14,ka.activerecord.attributes.user.password_confirmation,Password Confirmation,გაიმეორეთ პაროლი
15,ka.activerecord.attributes.user.role,Role,როლი
16,ka.activerecord.attributes.user.remember_me,Remeber Me,დამიმახსოვრე
17,ka.activerecord.attributes.message.name,Name,სახელი
18,ka.activerecord.attributes.message.phone,Phone Number,ტელეფონი ნომერი
19,ka.activerecord.attributes.message.email,Email Address,ელ.ფოსტის მისამართი
20,ka.activerecord.attributes.message.message,Message,შეტყობინება
21,ka.activerecord.attributes.message.what_is_data,Briefly describe the data that you want to visualize,მოკლედ აღწერეთ თქვენთვის სასურველი ვიზუალიზაციის მონაცემები
22,ka.activerecord.attributes.message.why_visualize,Why do you want to visualize this data?,რატომ გსურთ ამ მონაცემების ვიზუალიზაცია?
23,ka.activerecord.attributes.message.datasource,What is the data source?,რა არის მონაცემთა წყარო?
24,ka.activerecord.attributes.message.file,Attach the data file,დაურთეთ მონაცემთა ფაილი
25,ka.activerecord.attributes.message.how_use,Why would you like to use feradi.info to show your visualiations?,რატომ გსურთ feradi.info-ს გამოყენება თქვენი ვიზუალიზაციების გამოსაქვეყნებლად?
26,ka.activerecord.attributes.message.organization,Organization,ორგანიზაცია
27,ka.activerecord.attributes.category.icon,Icon,ხატულა
28,ka.activerecord.attributes.category_translation.name,Name,სახელი
29,ka.activerecord.attributes.organization.logo,Logo,ლოგო
30,ka.activerecord.attributes.organization.url,Website,ვებ-გვერდი
31,ka.activerecord.attributes.organization_translation.name,Name,სახელი
32,ka.activerecord.attributes.organization_translation.bio,About,ჩვენ შესახებ
33,ka.activerecord.attributes.organization_translation.permalink,Name in URL,ბმულის სახელი
34,ka.activerecord.attributes.organization_translation.permalink_hint,"If you want to generate a new URL name, simply delete the text and a new one will be generated when the record is saved.  Make sure you do this for all languages.",თუ გსურთ ბმულის ახალი სახელის შექმნა წაშალეთ არსებული ტექსტი და შეინახეთ ახალი ჩანაწერი. ეს ოპერაცია განახორციელეთ ყველა ენაზე.
35,ka.activerecord.attributes.organization_user.is_active,Active?,აქტიური
36,ka.activerecord.attributes.organization_user.user_id,User,მომხმარებელი
37,ka.activerecord.attributes.organization_user.organization_id,Organization,ორგანიზაცია
38,ka.activerecord.attributes.page.name,Name,სახელი
39,ka.activerecord.attributes.page_translation.title,Title,სათაური
40,ka.activerecord.attributes.page_translation.description,Content,შინაარსი
41,ka.activerecord.attributes.visualization.published_date,Publication Date,გამოქვეყნების თარიღი
42,ka.activerecord.attributes.visualization.published,Release to Public?,გსურთ გამოქვეყნება?
43,ka.activerecord.attributes.visualization.visualization_type_id,Visualization Type,ვიზუალიზაციის ტიპი
44,ka.activerecord.attributes.visualization.individual_votes,Individual Votes,ინდივიდუალური ხმები
45,ka.activerecord.attributes.visualization.overall_votes,Overall Votes,ხმების საერთო რაოდენობა
46,ka.activerecord.attributes.visualization.dataset,Dataset File,მონაცემები
47,ka.activerecord.attributes.visualization.visualization_categories,Categories,კატეგორიები
48,ka.activerecord.attributes.visualization.is_promoted,Promote to Home Page?,მთავარ გვერდზე დაწინაურება?
49,ka.activerecord.attributes.visualization.promoted_at,Date Promoted,დაწინაურების თარიღი
50,ka.activerecord.attributes.visualization_translation.title,Title,სათაური
51,ka.activerecord.attributes.visualization_translation.permalink,Name in URL,ბმულის სახელი
52,ka.activerecord.attributes.visualization_translation.permalink_hint,"If you want to generate a new URL name, simply delete the text and a new one will be generated when the record is saved.  Make sure you do this for all languages.",თუ გსურთ ბმულის ახალი სახელის შექმნა წაშალეთ არსებული ტექსტი და შეინახეთ ახალი ჩანაწერი. ეს ოპერაცია განახორციელეთ ყველა ენაზე.
53,ka.activerecord.attributes.visualization_translation.explanation,Explanation,აღწერა
54,ka.activerecord.attributes.visualization_translation.visualization_text,Text from Visualization,ტექსტი ვიზუალიზაციიდან
55,ka.activerecord.attributes.visualization_translation.visualization_text_hint,Text from the Visual that should be made available to the search engines.,"ტექსტი ვიზუალიზაციიდან, რომელიც ხელმისაწვდომი უნდა იყოს საძიებო სისტემებისთვის."
56,ka.activerecord.attributes.visualization_translation.reporter,"Reporter (Name, Organization)","ჟურნალისტი (სახელი, ორგანიზაცია)"
57,ka.activerecord.attributes.visualization_translation.designer,"Designer (Name, Organization)","დიზაინერი (სახელი, ორგანიზაცია)"
58,ka.activerecord.attributes.visualization_translation.developer,"Developer (Name, Organization)","დეველოპერი (სახელი, ორგანიზაცია)"
59,ka.activerecord.attributes.visualization_translation.interactive_url,URL to Interactive Visualization,ინტერაქტიული ვიზუალიზაციის ბმული
60,ka.activerecord.attributes.image_file.file,Visual File,ვიზუალის ფაილი
61,ka.activerecord.attributes.image_file.reset_crop,Redo the Thumbnail Image,ესკიზის განახლება
62,ka.activerecord.attributes.image_file.reset_file,Load a New File,ახალი ფაილის ჩატვირთვა
63,ka.activerecord.attributes.image_file.reset_url,Retake URL Screenshot,ბმულისთვის სკრინშოტის ხელახლა გადაღება
64,ka.activerecord.attributes.dataset_file.file,Dataset File,მონაცემების ფაილი
65,ka.activerecord.attributes.datasource.name,Name of Data Source,მონაცემთა წყაროს სახელი
66,ka.activerecord.attributes.datasource.url,URL of Data Source,მონაცემთა წყაროს ბმული
67,ka.activerecord.attributes.idea.user_id,User,მომხმარებელი
68,ka.activerecord.attributes.idea.explaination,Explanation,აღწერა
69,ka.activerecord.attributes.idea.created_at,Date,თარიღი
70,ka.activerecord.attributes.idea.individual_votes,Individual Votes,თითოეული ხმა
71,ka.activerecord.attributes.idea.overall_votes,Overall Votes,ხმების სრული რაოდენობა
72,ka.activerecord.attributes.idea.is_duplicate,Duplicate?,დუბლირებული?
73,ka.activerecord.attributes.idea.is_inappropriate,Inappropriate?,არ შეესაბამება
74,ka.activerecord.attributes.idea.is_public,Is Public?,საჯაროა?
75,ka.activerecord.attributes.idea.current_status_id,Current Status,მიმდინარე სტატუსი
76,ka.activerecord.attributes.idea_category.idea_id,Idea,იდეა
77,ka.activerecord.attributes.idea_category.category_id,Category,კატეგორია
78,ka.activerecord.attributes.idea_progress.idea_id,Idea,იდეა
79,ka.activerecord.attributes.idea_progress.organization_id,Organization,ორგანიზაცია
80,ka.activerecord.attributes.idea_progress.is_completed,News Story Completed?,სიახლე დასრულებულია?
81,ka.activerecord.attributes.idea_progress.url,News Story URL,სიახლის ბმული
82,ka.activerecord.attributes.idea_progress.progress_date,Date,თარიღი
83,ka.activerecord.attributes.idea_progress.explaination,Explanation,აღწერა
84,ka.activerecord.attributes.idea_progress.idea_status_id,Status,სტატუსი
85,ka.activerecord.attributes.idea_progress.idea_status,Status,სტატუსი
86,ka.activerecord.attributes.idea_progress.is_public,Is Public?,საჯაროა?
87,ka.activerecord.attributes.idea_inappropriate_report.user_id,User,მომხმარებელი
88,ka.activerecord.attributes.idea_inappropriate_report.idea_id,Idea,იდეა
89,ka.activerecord.attributes.idea_inappropriate_report.reason,Why is Idea Inappropriate?,რატომ არ შეესაბამება იდეა?
90,ka.activerecord.attributes.idea_status.sort,Sort Order,დახარისხება
91,ka.activerecord.attributes.idea_status.sort_hint,"1, 2, 3, etc. (ascending order)","1, 2, 3, etc. (ascending order)"
92,ka.activerecord.attributes.idea_status.is_published,Published?,გამოქვეყნდა?
93,ka.activerecord.attributes.idea_status.is_published_hint,This status indicates that the idea is published,"ეს სტატუსი გამოხატავს, რომ იდეა გამოქვეყნდა"
94,ka.activerecord.attributes.idea_status_translation.name,Name,სახელი
95,ka.activerecord.messages.idea_progress.success,The record was successfully saved.,ჩანაწერები წარმატებით შეინახა.
